Size (Acres),City,County,State,Price,Notes,Link,Property ID
18,Buena Vista,Chaffee County,CO,"$1,490,000",,/Chaffee-County-Colorado-Land-for-sale/pid/327609693,327609693
35.11,Canon City,Fremont County,CO,"$129,000",,/Fremont-County-Colorado-Land-for-sale/pid/330900217,330900217
3.47,Creede,Mineral County,CO,"$99,950",,/Mineral-County-Colorado-Land-for-sale/pid/326816174,326816174
35,Trinidad,Las Animas County,CO,"$59,000",,/Las-Animas-County-Colorado-Land-for-sale/pid/25006878,25006878
25.2,Belfry,Carbon County,MT,"$31,000",,/Carbon-County-Montana-Land-for-sale/pid/282804024,282804024
20,Other,Park County,MT,"$159,500",,/Park-County-Montana-Land-for-sale/pid/299149131,299149131
1.02,Seeley Lake,Missoula County,MT,"$65,000",,/Missoula-County-Montana-Land-for-sale/pid/28123925,28123925
5,Seeley Lake,Missoula County,MT,"$2,500,000",,/Missoula-County-Montana-Land-for-sale/pid/331231162,331231162
20.4,Belfry,Carbon County,MT,"$49,500",,/Carbon-County-Montana-Land-for-sale/pid/1966968,1966968
1.09,Miles City,Custer County,MT,"$1,480,000",,/Custer-County-Montana-Land-for-sale/pid/327705217,327705217
2.38,Anaconda,Granite County,MT,"$100,000",,/Granite-County-Montana-Land-for-sale/pid/331354983,331354983
2.84,Anaconda,Deer Lodge County,MT,"$65,000",,/Deer-Lodge-County-Montana-Land-for-sale/pid/330944641,330944641
21.7,Belfry,Carbon County,MT,"$49,500",,/Carbon-County-Montana-Land-for-sale/pid/327455074,327455074
1.94,Billings,Yellowstone County,MT,"$199,000",,/Yellowstone-County-Montana-Land-for-sale/pid/331354960,331354960
20.01,Belfry,Carbon County,MT,"$59,500",,/Carbon-County-Montana-Land-for-sale/pid/27259256,27259256
40,Bozeman,Gallatin County,MT,"$599,900",,/Gallatin-County-Montana-Land-for-sale/pid/326627507,326627507
640,Lincoln,Lewis and Clark County,MT,"$1,200,000",,/Lewis-and-Clark-County-Montana-Land-for-sale/pid/330173554,330173554
7.01,Divide,Silver Bow County,MT,"$275,000",,/Silver-Bow-County-Montana-Land-for-sale/pid/326488539,326488539
